State Name,,Quality Parameter
ANDHRA PRADESH,count,2888
ANDHRA PRADESH,unique,2
ANDHRA PRADESH,top,Fluoride
ANDHRA PRADESH,freq,2193
ARUNACHAL PRADESH,count,612
ARUNACHAL PRADESH,unique,1
ARUNACHAL PRADESH,top,Iron
ARUNACHAL PRADESH,freq,612
ASSAM,count,79910
ASSAM,unique,3
ASSAM,top,Iron
ASSAM,freq,74098
BIHAR,count,92336
BIHAR,unique,4
BIHAR,top,Iron
BIHAR,freq,69970
CHATTISGARH,count,25062
CHATTISGARH,unique,5
CHATTISGARH,top,Iron
CHATTISGARH,freq,24439
CHHATTISGARH,count,8815
CHHATTISGARH,unique,3
CHHATTISGARH,top,Iron
CHHATTISGARH,freq,8339
GUJARAT,count,2092
GUJARAT,unique,4
GUJARAT,top,Fluoride
GUJARAT,freq,804
HARYANA,count,262
HARYANA,unique,2
HARYANA,top,Fluoride
HARYANA,freq,244
HIMACHAL PRADESH,count,88
HIMACHAL PRADESH,unique,3
HIMACHAL PRADESH,top,Salinity
HIMACHAL PRADESH,freq,72
JAMMU AND KASHMIR,count,67
JAMMU AND KASHMIR,unique,3
JAMMU AND KASHMIR,top,Salinity
JAMMU AND KASHMIR,freq,40
JHARKHAND,count,3913
JHARKHAND,unique,5
JHARKHAND,top,Iron
JHARKHAND,freq,3254
KARNATAKA,count,30824
KARNATAKA,unique,5
KARNATAKA,top,Fluoride
KARNATAKA,freq,13156
KERALA,count,4800
KERALA,unique,4
KERALA,top,Iron
KERALA,freq,3161
MADHYA PRADESH,count,14449
MADHYA PRADESH,unique,4
MADHYA PRADESH,top,Fluoride
MADHYA PRADESH,freq,12762
MAHARASHTRA,count,12480
MAHARASHTRA,unique,5
MAHARASHTRA,top,Fluoride
MAHARASHTRA,freq,4184
MANIPUR,count,14
MANIPUR,unique,1
MANIPUR,top,Iron
MANIPUR,freq,14
MEGHALAYA,count,427
MEGHALAYA,unique,2
MEGHALAYA,top,Iron
MEGHALAYA,freq,425
NAGALAND,count,618
NAGALAND,unique,1
NAGALAND,top,Iron
NAGALAND,freq,618
ORISSA,count,68620
ORISSA,unique,5
ORISSA,top,Iron
ORISSA,freq,59905
PUDUCHERRY,count,17
PUDUCHERRY,unique,2
PUDUCHERRY,top,Iron
PUDUCHERRY,freq,16
PUNJAB,count,1056
PUNJAB,unique,3
PUNJAB,top,Salinity
PUNJAB,freq,894
RAJASTHAN,count,131417
RAJASTHAN,unique,5
RAJASTHAN,top,Salinity
RAJASTHAN,freq,87137
TAMIL NADU,count,3164
TAMIL NADU,unique,4
TAMIL NADU,top,Iron
TAMIL NADU,freq,2119
TRIPURA,count,26235
TRIPURA,unique,1
TRIPURA,top,Iron
TRIPURA,freq,26235
UTTAR PRADESH,count,9918
UTTAR PRADESH,unique,5
UTTAR PRADESH,top,Iron
UTTAR PRADESH,freq,3376
UTTARAKHAND,count,57
UTTARAKHAND,unique,4
UTTARAKHAND,top,Iron
UTTARAKHAND,freq,35
WEST BENGAL,count,30101
WEST BENGAL,unique,4
WEST BENGAL,top,Arsenic
WEST BENGAL,freq,12382
